carat,cut,color,clarity,depth,table,price,x,y,z
0.67,2,3,6,63.8,61,2398,5.46,5.54,3.52
0.35,5,4,8,61.1,56,1116,4.59,4.54,2.79
0.76,2,6,3,64.3,60,2326,5.69,5.64,3.64
1.55,5,2,2,62.3,55,6901,7.44,7.37,4.61
0.96,1,5,1,64.3,59,1739,6.38,5.88,3.98
0.8,2,3,3,63.8,59,2890,5.87,5.83,3.73
0.38,5,4,5,62.1,56,1040,4.68,4.63,2.89
0.32,5,5,5,61.8,55,720,4.42,4.41,2.73
0.5,3,2,4,61.3,59,1624,5.05,5.1,3.11
1.27,5,3,4,61,59,9547,6.96,6.98,4.25
0.4,5,7,8,62.6,56,1063,4.75,4.71,2.96
1.2,3,6,3,63.8,57,5352,6.64,6.72,4.26
0.5,5,1,5,62.3,54.3,2033,5.05,5.12,3.17
1.01,5,4,7,61.1,56,8647,6.51,6.49,3.97
0.3,2,6,5,63.3,59,473,4.2,4.23,2.67
0.96,3,3,3,62.1,62,4755,6.24,6.32,3.9
0.32,3,5,5,60.5,59,561,4.41,4.42,2.67
0.31,5,4,7,61,56,789,4.36,4.4,2.67
0.39,5,4,5,62.6,55,1077,4.69,4.66,2.93
0.5,5,3,7,62,58,2018,5.06,5.07,3.14
0.3,4,1,3,61.7,59,709,4.31,4.28,2.65
1.08,3,3,3,61.3,57,4816,6.62,6.6,4.05
0.72,3,6,4,63.3,57,2393,5.66,5.72,3.6
1.1,3,5,2,59.8,60,4561,6.7,6.77,4.03
1.2,5,4,2,61.1,57,5826,6.86,6.83,4.18
1.02,4,6,2,61.2,59,3856,6.51,6.46,3.97
1.06,4,6,3,61.9,59,4372,6.5,6.52,4.03
0.7,5,1,2,61.6,56,2384,5.73,5.69,3.52
0.37,5,1,7,61.3,56,1764,4.6,4.63,2.83
0.52,5,3,2,61.8,55,1059,5.17,5.21,3.21
1.7,2,6,2,63.6,59,7464,7.62,7.52,4.8
0.34,4,5,3,60.2,58,612,4.52,4.48,2.71
0.71,3,5,3,61.5,56,2471,5.71,5.75,3.53
2.01,4,6,4,61.1,60,17433,8.06,8.12,4.94
1.23,5,3,5,62.5,54,9836,6.85,6.82,4.27
1.02,1,1,3,66.4,60,4798,6.29,6.21,4.15
0.23,3,2,6,62.5,55,505,3.94,3.96,2.47
0.9,4,5,4,62.3,58,3919,6.18,6.09,3.82
1.24,5,4,5,61.1,57,8449,6.98,6.91,4.24
0.51,5,4,7,60.5,59,1893,5.16,5.19,3.13
1.59,5,3,5,62.9,57,17366,7.38,7.48,4.62
0.3,5,5,3,62.2,57,450,4.26,4.29,2.66
0.38,3,1,6,60,62,1200,4.7,4.73,2.83
0.78,5,4,2,61.9,55,2240,5.91,5.94,3.67
0.34,3,4,5,61.7,60,686,4.45,4.49,2.76
0.31,4,6,6,61.6,59,698,4.33,4.31,2.66
0.51,4,4,6,61.5,56,1974,5.15,5.12,3.16
1.5,2,6,3,62.9,60,8161,7.12,7.16,4.49
0.76,5,3,4,61,55,3257,5.89,5.92,3.6
0.28,4,2,3,60.3,58,529,4.26,4.22,2.55
1.51,4,6,3,62.6,60,8794,7.34,7.27,4.57
1.07,5,4,8,61.5,57,9361,6.54,6.59,4.04
0.7,4,4,2,61,58,1875,5.75,5.72,3.5
0.81,4,4,2,59,57,2274,6.14,6.1,3.61
0.9,3,4,5,62.7,60,4540,6.06,6.13,3.82
0.73,2,2,3,57.9,55,2749,6,5.96,3.46
0.79,5,4,3,61.1,57,2898,5.98,5.93,3.64
1.31,4,7,3,62.5,55,5480,7.05,6.97,4.38
1.04,5,6,4,62.9,56,4013,6.5,6.41,4.06
0.32,5,5,4,61.7,56,534,4.39,4.42,2.72
0.5,5,4,5,62.3,55,1746,5.11,5.07,3.17
0.32,3,3,4,61.4,58,556,4.37,4.42,2.7
0.32,5,4,3,60.9,57,612,4.46,4.44,2.71
1,4,1,3,59.6,57,5880,6.54,6.44,3.87
0.23,1,4,6,61.4,66,369,3.87,3.91,2.39
0.31,2,2,3,63.9,56,698,4.31,4.27,2.74
0.58,5,6,3,61.4,55,1193,5.37,5.42,3.31
1.01,2,3,4,64.1,59,6037,6.16,6.23,3.97
1.07,3,4,6,59.4,57,7597,6.74,6.69,3.99
1.06,4,2,5,59.1,58,6669,6.66,6.71,3.95
0.9,3,5,2,62.4,58,3250,6.11,6.16,3.83
1.2,5,3,4,62.7,57,9176,6.71,6.76,4.22
1.16,5,3,6,61.8,56.7,10439,6.7,6.78,4.16
0.7,5,4,3,60.9,57,2394,5.77,5.79,3.52
0.54,3,6,3,63.2,57,1135,5.17,5.21,3.28
0.31,3,5,4,63.5,57,628,4.34,4.32,2.75
1.06,5,4,4,62.8,55,7160,6.49,6.51,4.08
0.3,4,1,4,60.3,60,911,4.31,4.28,2.59
0.37,5,2,4,62.7,56,1041,4.6,4.55,2.87
1.5,3,5,2,63,58,7888,7.2,7.25,4.55
0.9,5,6,3,61.6,55,3908,6.2,6.22,3.82
0.43,5,5,7,62.3,54,1169,4.85,4.84,3.02
0.7,5,2,4,60.5,59,3201,5.72,5.75,3.47
0.52,5,5,7,60.4,57,1778,5.2,5.23,3.15
